https://github.com/MaggieAppleton/digital-gardeners,"Resources, links, projects, and ideas for gardeners tending their digital notes on the public interwebs"
https://github.com/skeeto/endlessh,SSH tarpit that slowly sends an endless banner
https://github.com/nrdxp/nixflk,highly structured NixOS configuration database
https://github.com/hlissner/doom-emacs-private,My private module for Doom Emacs
https://github.com/rememberYou/.emacs.d,🎉 Personal GNU Emacs configuration
https://github.com/kragen/stoneknifeforth,a tiny self-hosted Forth implementation
https://github.com/kragen/tokthr,tiny token-threaded bytecode interpreter in x86 assembly
https://github.com/monsonite/Z80_Forth,David Husband's Multitasking ZX81  Forth from 1983 - rehashed for experimental Z80 board
https://github.com/karlicoss/promnesia,Another piece of your extended mind
https://github.com/ensc/tk,Various time keeping and tracking utilities
https://github.com/kuzmoyev/google-calendar-simple-api,Pythonic wrapper for the Google Calendar API
https://github.com/ejain/body-temperature,
https://github.com/frnsys/speculating_futures,futures we can feel good about
https://github.com/google/closure-compiler,A JavaScript checker and optimizer.
https://github.com/abcdw/rde,My reproducible development environment
https://github.com/seanbreckenridge/HPI,Human Programming Interface 🤖
https://github.com/seanbreckenridge/exobrain,external brain
https://github.com/calmm-js/partial.lenses,"Partial lenses is a comprehensive, high-performance optics library for JavaScript"
https://github.com/8l/ff,A Simple Forth System for Linux on i386 and ARM CPUs
https://github.com/schollz/croc,Easily and securely send things from one computer to another :crocodile: :package:
https://github.com/byungsook/neural-flow-style,Neural Style Transfer for Fluids
https://github.com/gauteh/lieer,Fast email-fetching and sending and two-way tag synchronization between notmuch and GMail
https://github.com/hms-dbmi/viv,Library for multiscale visualization of high-resolution multiplexed tissue data on the web. Directly renders Bio-Formats-compatible Zarr and OME-TIFF.
https://github.com/hundredrabbits/Dotgrid,Minimalist Vector Tool
https://github.com/justinmeiners/lc3-vm,Write your own virtual machine for the LC-3 computer!
https://github.com/cpitclaudel/alectryon,A collection of tools for writing technical documents that mix Coq code and prose.
https://github.com/dreemurrs-embedded/Jumpdrive,Flash/Rescue SD Card image for PinePhone and PineTab
https://github.com/derekantrican/GAS-ICS-Sync,A Google Apps Script for syncing ICS/ICAL files faster than the current Google Calendar speed
https://github.com/lerna/lerna,:dragon: A tool for managing JavaScript projects with multiple packages.
https://github.com/munen/emacs.d,My emacs configuration documented in literate programming style
https://github.com/kickscondor/fraidycat,"Follow blogs, wikis, YouTube channels, as well as accounts on Twitter, Instagram, etc. from a single page."
https://github.com/project-oak/oak-hardware,"Formal specification and verification of hardware, especially for security and privacy."
https://github.com/jsjoeio/joeprevite.com,my digital garden 🌱
https://github.com/abhisheknaiidu/awesome-github-profile-readme,😎 A curated list of awesome Github Profile READMEs 📝
https://github.com/snus-kin/japanese-music-graph,Code & Data for the large music graph
https://github.com/Rotonde/rotonde-client,Rotonde Base Client
https://github.com/Rotonde/People,a list of people and their dat urls
https://github.com/nix-community/nixos-generators,Collection of image builders [maintainer=@Lassulus]
https://github.com/serokell/nix-npm-buildpackage,Build nix packages that use npm/yarn
https://github.com/mdnls/inn-design,
https://github.com/aatxe/oxide,The essence of Rust.
https://github.com/facebookresearch/craftassist,A virtual assistant bot in Minecraft
https://github.com/spwhitt/nix-zsh-completions,ZSH Completions for Nix
https://github.com/chisui/zsh-nix-shell,zsh plugin that lets you use zsh in nix-shell shell.
